country,confirmed,death,recovered,active,population
Afghanistan,42463,1577,34954,5932,38041754
Albania,25294,579,12353,12362,2854191
Algeria,63446,2077,42626,18743,43053054
Andorra,5477,75,4405,997,77142
Angola,12816,308,6036,6472,31825295
Antigua and Barbuda,131,3,122,6,97118
Argentina,1262476,34183,1081897,146396,44938712
Armenia,108687,1609,66835,40243,2957731
Australia,27671,907,25454,1310,25364307
Austria,164866,1499,98663,64704,8877067
Azerbaijan,67392,867,50009,16516,10023318
Bahamas,7012,154,5035,1823,389482
Bahrain,83811,331,81415,2065,1641172
Bangladesh,423620,6108,341416,76096,163046161
Barbados,243,7,231,5,287025
Belarus,108300,1016,91646,15638,9466856
Belgium,507475,13561,30504,463410,11484055
Belize,4414,73,2440,1901,390353
Benin,2781,43,2515,223,11801151
Bhutan,364,0,343,21,763092
Bolivia,142664,8808,115199,18657,11513100
Bosnia and Herzegovina,65024,1629,32261,31134,3301000
Botswana,7835,27,5534,2274,2303697
Brazil,5699005,162802,5183970,352233,211049527
Brunei,148,3,145,0,433285
Bulgaria,83366,1851,25799,55716,6975761
Burkina Faso,2582,67,2410,105,20321378
Myanmar,63241,1461,47411,14369,54045420
Burundi,615,1,549,65,11530580
Cabo Verde,9499,101,8738,660,549935
Cambodia,300,0,288,12,16486542
Cameroon,22421,433,21510,478,25876380
Canada,276481,10693,224912,NA,37589262
Central African Republic,4884,62,1924,2898,4745185
Chad,1561,99,1413,49,15946876
Chile,523907,14611,500142,NA,18952038
China,91719,4742,86421,556,1397715000
Colombia,1155356,33128,980866,64290,50339443
Comoros,569,7,541,21,850886
"Congo, Rep.",5379,92,3887,1400,5380508
"Congo, Dem. Rep.",11642,316,10928,398,86790567
Costa Rica,118566,1502,72941,44123,5047561
Cote d'Ivoire,20847,126,20546,175,25716544
Croatia,70243,865,54854,14524,4067500
Cuba,7392,130,6749,513,11333483
Cyprus,6296,29,1882,4385,1198575
Czech Republic,429880,5323,277473,147084,10669709
Denmark,57472,750,42759,13963,5818553
Djibouti,5633,61,5497,75,973560
Dominica,63,0,35,28,71808
Dominican Republic,131131,2269,108765,20097,10738958
Ecuador,175711,12849,154956,7906,17373662
Egypt,109654,6394,100540,2720,100388073
El Salvador,35145,1020,31172,2953,6453553
Equatorial Guinea,5102,85,4971,46,1355986
Estonia,6376,76,4219,2081,1326590
Eswatini,6024,117,5737,170,1148130
Ethiopia,100327,1537,61516,37274,112078730
Fiji,34,2,31,1,889953
Finland,18107,363,12700,5044,5520314
France,1878498,42271,137401,1698826,67059887
Gabon,9029,57,8899,73,2172579
Gambia,3696,122,3543,31,2347706
Georgia,63650,521,47390,15739,3720382
Germany,715693,11781,446402,257510,83132799
Ghana,49302,320,47843,1139,30417856
Greece,60570,866,23074,36630,10716322
Grenada,32,0,27,5,112003
Guatemala,112129,3832,102140,6157,16604026
Guinea,12484,74,10857,1553,12771246
Guinea-Bissau,2419,43,2255,121,1920922
Guyana,4530,135,3575,820,782766
Haiti,9137,232,7683,1222,11263077
Honduras,100804,2780,43507,54517,9746117
Hungary,118918,2596,27585,88737,9769949
Iceland,5114,24,4521,569,361313
India,8636011,127571,8013783,494657,1366417754
Indonesia,444348,14761,375741,53846,270625568
Iran,703288,39202,530694,133392,82913906
Iraq,505310,11432,434665,59213,39309783
Ireland,65889,1963,23364,40562,4941444
Israel,320661,2684,309840,8137,9053300
Italy,995463,42330,363023,590110,60297396
Jamaica,9573,224,4987,4362,2948279
Japan,110487,1840,98487,10160,126264931
Jordan,120982,1386,9249,110347,10101694
Kazakhstan,117904,1857,108387,7660,18513930
Kenya,64588,1154,43095,20339,52573973
"Korea, Rep.",27799,487,25266,2046,51709098
Kuwait,133381,821,124156,8404,4207083
